time,N_1_x,N_1_y,N_1_z,N_2_x,N_2_y,N_2_z,C_3_x,C_3_y,C_3_z,H_4_x,H_4_y,H_4_z,H_5_x,H_5_y,H_5_z,H_6_x,H_6_y,H_6_z,C_7_x,C_7_y,C_7_z,H_8_x,H_8_y,H_8_z,H_9_x,H_9_y,H_9_z,H_10_x,H_10_y,H_10_z
415.0,-0.6882798129,0.0494056609,-0.4580854528,0.4995908867,-0.128968346,0.1995259138,2.1529550809,0.301144202,0.0673308218,2.3312565858,1.3116321519,-0.3180273406,2.3244501024,-0.2554451466,1.1250904026,2.679949339,-0.3168805968,-0.827440645,-1.9716147726,-0.280582258,0.1943411101,-2.5545774166,0.5313263685,-0.1181587178,-2.4370659205,-1.187313161,-0.0484537859,-1.7001390476,-0.1570216923,1.3093309017
416.0,-0.6859415922,0.0436137084,-0.4521389682,0.4894310646,-0.1438371316,0.1758397143,2.1565732873,0.3197205785,0.0703282174,2.2865978822,1.311005287,-0.2641235625,2.3745601955,-0.2517094343,1.0635569478,2.6680411805,-0.3942857379,-0.7083022306,-1.9681997107,-0.2767549823,0.2057937469,-2.5116292428,0.5700598393,-0.1192211608,-2.3803759529,-1.1751609062,-0.0591935688,-1.7683033105,-0.1123733763,1.2838520145
417.0,-0.6790456272,0.0382926854,-0.4468992126,0.4767103311,-0.1588601126,0.1527656357,2.1579719625,0.3332272494,0.0721322582,2.244260163,1.3210031844,-0.2018240136,2.4247366654,-0.2201664826,0.9847223813,2.6427423635,-0.4555181397,-0.5764730371,-1.961645539,-0.2705082545,0.2193753284,-2.4810311291,0.611399654,-0.1233183551,-2.3316230458,-1.1840060628,-0.0759150614,-1.8438711149,-0.0767834346,1.2537787628
418.0,-0.6679874573,0.0336991192,-0.4424596359,0.4621403039,-0.1741154702,0.1309254628,2.1565443603,0.3412504916,0.0727920505,2.2078528012,1.3495260952,-0.1387734056,2.4716800954,-0.1659493718,0.9101434819,2.6096789184,-0.4987784969,-0.4495853936,-1.9527260363,-0.2616245419,0.2332170847,-2.461372442,0.6469049527,-0.1306318713,-2.292760036,-1.2101821987,-0.0970913749,-1.9201902758,-0.0501859123,1.235811638
419.0,-0.6535240153,0.0301539676,-0.4389648629,0.4467335029,-0.1897215917,0.1110918804,2.1513145573,0.3454017963,0.0714346602,2.1791074932,1.393036571,-0.0795981703,2.5163517085,-0.1004055773,0.8705216037,2.5764709828,-0.5288436658,-0.3469447661,-1.9423676828,-0.2508935054,0.2452245822,-2.4505984007,0.669264757,-0.1409730397,-2.2617635743,-1.2406052365,-0.1179583554,-1.9925516,-0.0312921062,1.2448338165
420.0,-0.636799188,0.0280606221,-0.4366690118,0.4318049084,-0.2058569592,0.094176471,2.1413150996,0.3481819766,0.0671369009,2.15852476,1.4387185697,-0.0276096945,2.5621198269,-0.033054551,0.8906351049,2.5499499958,-0.553885285,-0.2828243543,-1.931291857,-0.2392524588,0.2544215544,-2.446734374,0.6740925706,-0.1539593822,-2.2363203788,-1.2619311953,-0.1333557364,-2.058211879,-0.020293658,1.2815902036
421.0,-0.6192805651,0.0279084073,-0.4359504555,0.4188859832,-0.2227647446,0.0811422895,2.1267627576,0.3506637959,0.0607768986,2.1456848487,1.4738846693,0.0133356811,2.6039531071,0.0386437317,0.9646263215,2.5332605329,-0.577651176,-0.2611600769,-1.9201229952,-0.2273290395,0.2612221382,-2.448171186,0.660202645,-0.1689932626,-2.2151742975,-1.2657109228,-0.1397416181,-2.1137633836,-0.0192789221,1.3320806545
422.0,-0.6025693068,0.0302387558,-0.4372384115,0.4095528355,-0.2407344515,0.0728624597,2.1090022441,0.3525577427,0.0545695555,2.1393672071,1.4908617026,0.0391725797,2.6288020488,0.1199282543,1.0630380828,2.5258435528,-0.5957239395,-0.2767235596,-1.9094106633,-0.2155909901,0.2665101213,-2.4539999791,0.629552219,-0.1854411117,-2.1979434804,-1.2490082883,-0.1355345748,-2.1547873302,-0.0296083804,1.3793209892
423.0,-0.5880640512,0.0355609309,-0.4408563398,0.4051320957,-0.2600377092,0.0699591145,2.0892837834,0.353380529,0.0502594597,2.1378472072,1.4871099979,0.0465293904,2.6271224213,0.2089133592,1.1582883037,2.5254274137,-0.5995786406,-0.319926121,-1.8994759493,-0.2044733188,0.2710117113,-2.4643709111,0.5870680756,-0.2030378414,-2.184815145,-1.2139823715,-0.120981437,-2.1774684076,-0.0505171142,1.4110887574
424.0,-0.5765686912,0.0442187723,-0.4468311983,0.4063309227,-0.280804576,0.072640185,2.0683076097,0.3527591837,0.048656284,2.1391217165,1.4644741728,0.033112152,2.5960182821,0.2990267781,1.2330356754,2.5295433616,-0.5818398822,-0.3803453588,-1.890323352,-0.1942639952,0.2752250121,-2.4804729352,0.5397833368,-0.2220824206,-2.1765022616,-1.167964317,-0.0982160572,-2.179476804,-0.0794554939,1.4209436699
